title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory,rental_count,like_count,book,member,affiliation,rental_requset_member,rental_requset_status,rental_requset_data,rental_status,over_due_status,return_date,reservation_count
홀로 성장하는 시대는 끝났다,이소영,더메이커,대덕소프트웨어마이스터고등학교,IT00015565,325.24 이55ㅎ c.9,"마이크로소프트에서 아시아 리전 매니저로 일하고 있는 이소영 이사가 지난 8년간 한국뿐 아니라 아시아 전 지역에서 활동하고 있는 IT 커뮤니티 리더 2,000여 명과 인터뷰하고 교류한 경험을 토대로 집필한 책이다.",2019-11-05,https://image.aladin.co.kr/product/21172/81/cover500/s732639538_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
홀로 성장하는 시대는 끝났다,이소영,더메이커,대덕소프트웨어마이스터고등학교,IT00015572,325.24 이55ㅎ c.16,"마이크로소프트에서 아시아 리전 매니저로 일하고 있는 이소영 이사가 지난 8년간 한국뿐 아니라 아시아 전 지역에서 활동하고 있는 IT 커뮤니티 리더 2,000여 명과 인터뷰하고 교류한 경험을 토대로 집필한 책이다.",2019-11-05,https://image.aladin.co.kr/product/21172/81/cover500/s732639538_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
홀로 성장하는 시대는 끝났다,이소영,더메이커,대덕소프트웨어마이스터고등학교,IT00015574,325.24 이55ㅎ c.18,"마이크로소프트에서 아시아 리전 매니저로 일하고 있는 이소영 이사가 지난 8년간 한국뿐 아니라 아시아 전 지역에서 활동하고 있는 IT 커뮤니티 리더 2,000여 명과 인터뷰하고 교류한 경험을 토대로 집필한 책이다.",2019-11-05,https://image.aladin.co.kr/product/21172/81/cover500/s732639538_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
홀로 성장하는 시대는 끝났다,이소영,더메이커,대덕소프트웨어마이스터고등학교,IT00014723,325.24 이55ㅎ,"마이크로소프트에서 아시아 리전 매니저로 일하고 있는 이소영 이사가 지난 8년간 한국뿐 아니라 아시아 전 지역에서 활동하고 있는 IT 커뮤니티 리더 2,000여 명과 인터뷰하고 교류한 경험을 토대로 집필한 책이다.",2019-11-05,https://image.aladin.co.kr/product/21172/81/cover500/s732639538_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
긍정적인 말의힘,할 어반,웅진윙스,대덕소프트웨어마이스터고등학교,EM00009253,802.54 어42ㄱ c.2,"상대의 닫힌 마음을 열고, 절망을 희망으로 바꾸고, 용기를 북돋아주고, 존경과 감사를 표시하고, 서로가 윈-윈이 되는 결과를 이끌어내기 위한 가장 좋은 방법은 바로 '말'이다. 이 책에는 상대에게서 최선의 것을 이끌어내고, 그를 기쁘게 만들고 나 또한 행복해지는 마법의 말들이 담겨 있다.",2006-06-14,https://image.aladin.co.kr/product/66/31/cover500/8901057611_2.jpg,국내도서>자기계발>인간관계>인간관계,0,0,1,,1,,False,,False,False,,0
여자라면 힐러리처럼,이지성,다산북스,대덕소프트웨어마이스터고등학교,EM00003104,340.99 이79ㅇ c.3,"최초의 미국 여성 대통령을 꿈꾸는 힐러리, 세상에서 가장 강한 여자라고 불리는 그녀도 20대 초반까지는 약한 여자에 불과했으나 남다른 노력 끝에 자신을 강한 존재로 변화시켰다. 저자는 세상에 한 번도 공개된 적 없는 힐러리의 성공비결을 찾아내 두려움을 강한 자신감으로 바꾸는 14가지 힐러리 스타일로 재구성했다.",2012-03-30,https://image.aladin.co.kr/product/99/1/cover500/8992555539_2.jpg,국내도서>자기계발>여성의 자기계발,0,0,1,,1,,False,,False,False,,0
말그릇,김윤나,카시오페아,대덕소프트웨어마이스터고등학교,IT00009884,189.2 김66ㅁ c.4,"단순히 말 잘하는 법을 알려주는 책이 아니다. 사람마다 가지고 있는 자신의 말 그릇의 의미에 대해 생각해보고 어떻게 하면 나의 말 그릇을 보다 단단하고 깊이 있게 만들 수 있는지 알려주는 책이다. ‘말솜씨’에만 집중하는 사람들은 이목을 끌기 위한 말하기를 사용하지만, ‘말 그릇이 단단한 사람들’은 소통하는 말하기를 사용한다.",2017-09-22,https://image.aladin.co.kr/product/11782/77/cover500/s502837239_2.jpg,국내도서>자기계발>협상/설득/화술>화술,0,0,1,,1,,False,,False,False,,0
매일 심리학 공부,우리창,지식너머,대덕소프트웨어마이스터고등학교,IT00009895,189.2 우298ㅁ c.4,"이 책은 우리가 살면서 상처 입고 부딪치며 힘들어하는 다양한 상황을 정리하고, 각종 심리학의 정수만을 모아 각 상황에 따른 해법을 제시하고 있다. 색채 심리학, 운동 심리학 등 기분을 바꾸는 데 도움이 되는 심리 기법과 각종 심리 테스트를 함께 수록하였다.",2017-08-01,https://image.aladin.co.kr/product/11406/4/cover500/895277888x_1.jpg,국내도서>자기계발>인간관계>교양심리학,0,0,1,,1,,False,,False,False,,0
보고서 마스터,윤영돈,가디언,대덕소프트웨어마이스터고등학교,IT00007479,325.484 윤64ㅂ,<보고서 마스터>는 수없이 보고서를 작성하면서도 보고서와 결코 친해지지 못하는 사람들을 위해 그동안 저자들이 각 분야에서 갈고닦은 실전 경험과 노하우는 물론 조직이나 업무와 관련된 다양한 통찰까지 제공한다.,2020-06-30,https://image.aladin.co.kr/product/24326/3/cover500/k672630709_1.jpg,국내도서>자기계발>기획/보고>보고,0,0,1,,1,,False,,False,False,,0
모든 관계는 심리학으로 풀린다,류혜인,스몰빅라이프,대덕소프트웨어마이스터고등학교,IT00015913,189.2 류94ㅁ,"심리학을 통해 인간이라면 누구나 안고 있는 관계에 관한 고민을 자세히 들여다보고, 그에 대한 현실적인 해법을 여러 가지 심리학 실험과 이론을 활용해 제시한다. 상대의 마음뿐 아니라 내 마음에 대해서도 제대로 바라보고 분석할 수 있도록 도와주기 때문에 관계 문제로 어려움을 겪고 있다면 이 책을 통해 명확한 해답을 얻을 수 있을 것이다.",2021-02-15,https://image.aladin.co.kr/product/26275/59/cover500/k912738685_1.jpg,국내도서>자기계발>인간관계>인간관계,0,0,1,,1,,False,,False,False,,0
